ID;VALOR_PARCELA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;VALOR_TOTAL;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_NAO_PAGAS;VALOR_TTN_PAGO;VALOR_TT_PAGO
22;63,71;0;0;0;0;0;0;0;0;0;;;;;;;573,39;9;9;0;0;573,39
23;43,29;0;0;0;;;;;;;;;;;;;129,87;3;3;0;0;129,87
24;123,65;0;0;0;0;0;0;0;0;0;0;0;0;;;;1483,8;12;12;0;0;1483,8
25;54,12;0;0;0;0;0;0;;;;;;;;;;324,72;6;6;0;0;324,72
26;144,31;0;0;0;0;0;0;0;0;;;;;;;;1154,48;8;8;0;0;1154,48
27;55,36;0;0;0;0;0;0;0;0;0;0;0;0;;;;664,32;12;12;0;0;664,32
28;153,52;0;0;0;0;0;0;0;0;0;0;0;0;;;;1842,24;12;12;0;0;1842,24
29;57,23;0;0;0;0;0;0;0;0;0;0;;;;;;572,3;10;10;0;0;572,3
30;124,28;0;0;0;0;0;0;0;0;0;0;;;;;;1242,8;10;10;0;0;1242,8
31;72,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1089,6;15;15;0;0;1089,6
32;53;0;0;0;;;;;;;;;;;;;159;3;3;0;0;159
33;95,52;0;0;0;0;0;;;;;;;;;;;477,6;5;5;0;0;477,6
34;41,82;0;0;0;0;0;0;0;0;0;0;;;;;;418,2;10;10;0;0;418,2
35;94,53;0;0;0;0;0;0;0;0;0;0;0;0;;;;1134,36;12;12;0;0;1134,36
36;131,32;0;0;0;0;0;0;0;0;0;0;;;;;;1313,2;10;10;0;0;1313,2
37;18,57;0;0;0;0;0;0;;;;;;;;;;111,42;6;6;0;0;111,42
38;21;0;0;0;0;0;;;;;;;;;;;105;5;5;0;0;105
39;63,09;0;0;0;0;0;;;;;;;;;;;315,45;5;5;0;0;315,45
40;98,24;0;0;0;0;0;0;0;0;;;;;;;;785,92;8;8;0;0;785,92
41;158,47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2377,05;15;15;0;0;2377,05
42;147;0;0;0;0;0;;;;;;;;;;;735;5;5;0;0;735
43;59,83;0;0;0;0;0;0;0;0;0;0;;;;;;598,3;10;10;0;0;598,3
44;94,85;0;0;0;0;0;;;;;;;;;;;474,25;5;5;0;0;474,25
45;122,44;0;0;0;0;0;0;;;;;;;;;;734,64;6;6;0;0;734,64
46;94,82;0;0;0;0;0;0;;;;;;;;;;568,92;6;6;0;0;568,92
47;159,47;0;0;0;0;0;;;;;;;;;;;797,35;5;5;0;0;797,35
48;260,11;0;0;0;0;0;0;0;0;0;0;;;;;;2601,1;10;10;0;0;2601,1
49;74,71;0;0;0;0;0;0;0;0;0;0;0;0;0;;;971,23;13;13;0;0;971,23
50;66,15;0;0;0;0;0;0;;;;;;;;;;396,9;6;6;0;0;396,9
51;40,86;0;0;0;0;0;0;0;0;0;0;;;;;;408,6;10;10;0;0;408,6
52;129,47;0;0;0;0;0;0;0;0;0;0;;;;;;1294,7;10;10;0;0;1294,7
53;20,57;0;0;0;;;;;;;;;;;;;61,71;3;3;0;0;61,71
54;136,83;0;0;0;0;0;0;0;0;0;0;0;0;;;;1641,96;12;12;0;0;1641,96
55;138,21;0;0;0;0;0;0;0;;;;;;;;;967,47;7;7;0;0;967,47
56;58,15;0;0;0;;;;;;;;;;;;;174,45;3;3;0;0;174,45
57;132,81;0;0;0;0;0;0;0;0;;;;;;;;1062,48;8;8;0;0;1062,48
58;80,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1201,95;15;15;0;0;1201,95
59;157,2;0;0;0;0;0;0;;;;;;;;;;943,2;6;6;0;0;943,2
60;52,82;0;0;0;0;0;0;;;;;;;;;;316,92;6;6;0;0;316,92
61;25,83;0;0;0;0;0;0;;;;;;;;;;154,98;6;6;0;0;154,98
62;100,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1508,4;15;15;0;0;1508,4
63;72,04;0;0;0;0;;;;;;;;;;;;288,16;4;4;0;0;288,16
64;52;0;0;0;0;0;0;0;0;0;0;;;;;;520;10;10;0;0;520
65;188,56;0;0;0;0;0;0;0;0;0;0;;;;;;1885,6;10;10;0;0;1885,6
66;82;0;0;0;0;0;0;0;0;0;;;;;;;738;9;9;0;0;738
67;33;0;;;;;;;;;;;;;;;33;1;1;0;0;33
68;124,73;0;0;0;0;0;0;0;;;;;;;;;873,11;7;7;0;0;873,11
69;156,27;0;0;0;0;0;0;0;0;0;0;0;0;;;;1875,24;12;12;0;0;1875,24
70;118,2;0;0;0;0;0;;;;;;;;;;;591;5;5;0;0;591
71;120,83;0;0;0;0;0;0;;;;;;;;;;724,98;6;6;0;0;724,98
